,text,neg
0,RT @CauseWereGuys: Accurate. https://t.co/2muP8wO2Fr,0.0
1,"RT @prorecco: 🎬1️⃣#pallanuotistifuordacqua 

Forse non tutti sanno quanto #EdoardoDiSomma tenga ai propri capelli... https://t.co/dMR9Xp2Z0s",0.0
2,Refer a friend to us and you could be eligible to receive $100 https://t.co/HoRyiVWhy0,0.211
3,"RT @olenekadartv: “Anne, ne olur benim kim olduğumu unutma…” #ÖleneKadar
https://t.co/bS5wy8DiDX",0.0
4,#newgadget #samsunggear #s3frontier https://t.co/tvJ5hrHGRd,0.0
5,RT @fazley13: Power betul mamat ni. Tayah draft. Terus tulis. https://t.co/brOADxuDHC,0.0
6,دعاء الجلسة بين السجدتين:رب اغفر لي رب اغفر لي https://t.co/gOEKgZ2kuP,0.0
7,"RT @yoosaltysweet: 170311 미니팬미팅 😍💞
@BAP_Youngjae #BAP #Youngjae #영재 #ROSE #WAKEMEUP https://t.co/OxMtZqxb9k",0.0
8,RT @suanjean: สายสัมพันธ์ ไทย-ญี่ปุ่น กับรูมเมทในเกสเฮ้าส์กลางโซลด้วยการอวดสภาพอากาศของประเทศตน สาวญปบอกเราโกหกแน่ๆ... ก็อยากให้… ,0.0
9,RT @fxxnxxx: Flashlight ฮาอี จีมิน แบคอายอน เพราะชิบหาย เพราะแบบบบ 😱😱😱 https://t.co/RehVV2mROl,0.0
10,RT @p_pingka: หึ...มึงไม่รู้จักโลกใน twitter ถูกมะ? https://t.co/xL2v8wt3rE,0.0
11,"👉""Tu amistad es uno de los regalos más bonitos que la vida me ha dado. Gracias por ser mi… https://t.co/03aMoQ5Xuc",0.112
12,"اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل
♻️ https://t.co/uKEZp80oqY",0.0
13,salopes belle adolescence https://t.co/8NTSxtXSuQ,0.0
14,RT @fernnnfernnfern: หาเรื่องสีทาหน้า มาเจอกระทู้นี้แล้วโอ๊ย ไม่รู้จะสงสารหรือขำมากกว่ากัน https://t.co/o1UUceVfgZ,0.0
15,"Juez argentino procesa a Cristina Fernández y a hijos por lavado de dinero
https://t.co/967rQb6OOi #Argentina https://t.co/lzrY7DtiGg",0.0
16,"RT @sao_anime: 【来場者特典】
abecさん描き下ろしミニ色紙のアスナ版、ユナ版は明日より全国の劇場で配布開始です！キリト版、エイジ版は本日配布終了となりますのでまだの方はぜひ映画館で#劇場版SAO お楽しみ下さい！※在庫状況は劇場により異なりま… ",0.0
17,"RT @ChristiChat: ⚡️Newsflash
Every news organization refusing to cover
#SusanRiceUnmasked story must be identified as #FakeNews comp… ",0.0
18,Adventures are always more fun with a feline friend.  Share if your agree. https://t.co/ms666qmNqR via @adventurecatorg #petloverswanted,0.558
19,RT @yor_wy: ที่ว่าคล้ายเบิ้ล  https://t.co/i684s7M9DR,0.0
20,"RT @matchpoint_16: [HQ] 170402 한손가락 주머니에 넣고 꽃다발 들고 있는 재범 뭘 해도 까리하고 멋있어 😍😍
#GOT7 #JB #갓세븐 #제이비 #재범 https://t.co/iNi7Bi6LCu",0.0
21,RT @SD_Toki: 6h is fucking ridiculous https://t.co/7rT80pyRi0,0.0
22,اللهم إني أعوذ بك من الهم والحزن والعجز والكسل والبخل والجبن وغلبة الدين وقهر الرجال https://t.co/gFfYcMArHq,0.0
23,This Is Why Your Body Jerks When You Fall Asleep. Woha! https://t.co/XYdjgyjHIt,0.0
24,R U WIT IT THIS CHRISTMAS OOOOOOH R U WIT OH R U WIT IT https://t.co/EALhcmp4dS,0.0
25,Kkkkkkkkkkkkkkkk https://t.co/NSEDW6PbQc,0.0
26,"RT @cleovar: El Mercurio C5/Se ratifica inhumanidad de Bachelet, ignorancia de ministro de justicia y Gobierno turbio y cobarde.… ",0.0
27,"RT @RocketInTheMix: Versatility is a key in your craft.
Enjoy this beautiful soulful Mix of songs By Erykah Badu 
Enjoy &amp; Stay blessed.

ht…",0.44
28,PMs: Try This Thought Experiment via @johncutlefish #prodmgmt https://t.co/uEJMaDKqgy,0.0
29,اللهم ارزقنا العفو و العافية بالدنيا و الآخرة https://t.co/sXOt8NymL9,0.0
30,世界人权宣言、第二十一条 ㈠ 人人有直接或通过自由选择的代表参与治理本国的权利。 #Hongkong #香港 https://t.co/HiUgGVc1ZO,0.0
31,استغفر الله و الحمدلله https://t.co/xi064oEOlr,0.0
32,RT @branfire: Yoooooo he really killed this mashup https://t.co/PbEO0wJ8Ae,0.0
33,RT @rockcock64: uh oh! lmao https://t.co/N6RZSrvePm,0.456
34,야 이거 좃나 예쁘네 이 가지런한 거 봐 ㅋㅋ 개예쁘다 씹창 https://t.co/eMIYV0oCuH,0.0
35,"RT @fouyxck: อปป้าแกยืนจิ้มมือถือ
โทรหา #จางยงจุน ให้นี่ฟัง..
จะบอกว่าฟังไม่ออกก็กะไร
ได้แต่คัมซาฮัมนีดา thank you 😊 
5555555555… ",0.185
36,RT @JackPosobiec: Why did Susan Rice have transcripts of Trump's calls to foreign leaders in November 2016? https://t.co/Sgl4gwesgq,0.0
37,https://t.co/HkjIymJftR,0.0
38,Trump-Xi meeting watched for clues of future relationship https://t.co/i5EJLVWxgN https://t.co/67JRWYVjL6,0.0
39,"RT @sunlitae: ""BTS fans are awesome and we love them"" 
okay this loop got me shedding tears dont touch mE https://t.co/FH1oeOJm2B",0.351
